iter	Passed	Remaining
0	113	113368
1	114	57329
2	116	38608
3	117	29228
4	118	23551
5	119	19771
6	120	17062
7	121	15028
8	122	13444
9	123	12177
10	123	11137
11	124	10271
12	125	9539
13	126	8922
14	128	8405
15	129	7951
16	130	7534
17	131	7157
18	132	6826
19	133	6525
20	133	6246
21	135	6002
22	136	5800
23	137	5594
24	138	5402
25	139	5223
26	140	5064
27	141	4912
28	142	4773
29	144	4663
30	145	4540
31	146	4421
32	147	4311
33	148	4205
34	148	4106
35	149	4013
36	150	3926
37	151	3844
38	152	3768
39	154	3699
40	155	3628
41	156	3560
42	157	3500
43	158	3448
44	159	3391
45	160	3334
46	161	3280
47	162	3229
48	163	3180
49	164	3133
50	166	3089
51	167	3047
52	168	3004
53	169	2962
54	170	2921
55	170	2882
56	172	2846
57	172	2809
58	174	2784
59	175	2753
60	176	2722
61	177	2689
62	178	2660
63	180	2632
64	181	2605
65	182	2578
66	183	2552
67	184	2527
68	185	2500
69	186	2473
70	187	2447
71	187	2422
72	189	2404
73	190	2385
74	191	2364
75	192	2343
76	193	2320
77	194	2299
78	195	2278
79	196	2259
80	197	2240
81	198	2222
82	199	2199
83	200	2182
84	201	2165
85	202	2147
86	203	2131
87	204	2121
88	205	2107
89	207	2095
90	208	2081
91	209	2066
92	210	2051
93	211	2035
94	212	2020
95	213	2006
96	214	1993
97	215	1979
98	216	1967
99	217	1956
100	218	1944
101	219	1935
102	221	1925
103	222	1913
104	223	1903
105	224	1891
106	225	1880
107	226	1867
108	227	1858
109	228	1848
110	229	1838
111	230	1828
112	231	1817
113	232	1806
114	233	1795
115	234	1784
116	235	1777
117	236	1769
118	237	1760
119	238	1750
120	239	1740
121	240	1730
122	241	1722
123	242	1715
124	243	1707
125	244	1699
126	245	1689
127	247	1683
128	248	1675
129	249	1668
130	250	1664
131	252	1658
132	253	1650
133	254	1642
134	255	1634
135	256	1626
136	257	1619
137	258	1611
138	258	1603
139	259	1597
140	260	1589
141	261	1581
142	263	1576
143	263	1568
144	265	1565
145	266	1559
146	267	1552
147	268	1545
148	269	1538
149	270	1531
150	271	1525
151	272	1519
152	273	1515
153	274	1509
154	275	1503
155	276	1497
156	277	1490
157	278	1484
158	279	1479
159	281	1475
160	281	1468
161	283	1465
162	284	1460
163	285	1456
164	286	1451
165	287	1446
166	289	1442
167	290	1438
168	291	1433
169	292	1428
170	293	1423
171	294	1418
172	296	1415
173	297	1410
174	298	1406
175	299	1401
176	300	1396
177	301	1391
178	302	1386
179	303	1380
180	304	1375
181	305	1370
182	306	1367
183	307	1362
184	308	1358
185	309	1353
186	310	1351
187	312	1347
188	313	1343
189	314	1340
190	315	1335
191	316	1331
192	317	1326
193	318	1322
194	319	1318
195	320	1313
196	321	1309
197	322	1305
198	323	1300
199	324	1296
200	325	1294
201	326	1291
202	327	1287
203	328	1283
204	329	1279
205	330	1274
206	331	1270
207	332	1266
208	333	1263
209	334	1259
210	336	1257
211	337	1253
212	338	1250
213	339	1246
214	341	1245
215	342	1243
216	343	1240
217	344	1236
218	345	1232
219	346	1228
220	347	1225
221	348	1221
222	349	1216
223	350	1213
224	351	1209
225	352	1206
226	353	1202
227	353	1198
228	355	1195
229	356	1192
230	357	1190
231	358	1187
232	359	1183
233	360	1179
234	361	1177
235	362	1174
236	363	1171
237	364	1168
238	365	1164
239	366	1161
240	367	1157
241	368	1154
242	369	1150
243	371	1150
244	372	1147
245	373	1144
246	374	1142
247	375	1139
248	377	1137
249	378	1134
250	379	1131
251	380	1128
252	381	1125
253	381	1121
254	382	1118
255	383	1115
256	384	1112
257	386	1111
258	387	1109
259	388	1107
260	390	1104
261	391	1101
262	392	1098
263	393	1096
264	394	1093
265	395	1090
266	396	1088
267	397	1086
268	398	1083
269	400	1081
270	401	1080
271	402	1078
272	404	1076
273	405	1073
274	406	1071
275	407	1068
276	408	1065
277	409	1062
278	410	1061
279	411	1059
280	413	1057
281	414	1054
282	415	1051
283	416	1050
284	417	1047
285	418	1045
286	419	1042
287	421	1040
288	421	1038
289	422	1035
290	423	1032
291	424	1030
292	426	1028
293	427	1025
294	428	1023
295	429	1021
296	430	1019
297	432	1017
298	433	1016
299	434	1013
300	435	1011
301	436	1008
302	437	1006
303	438	1003
304	439	1001
305	440	998
306	441	995
307	441	993
308	443	990
309	444	988
310	445	986
311	446	985
312	447	982
313	449	980
314	450	978
315	451	976
316	451	973
317	452	971
318	453	968
319	454	966
320	455	963
321	456	961
322	457	958
323	458	956
324	459	954
325	460	952
326	462	950
327	463	948
328	463	946
329	464	943
330	466	941
331	467	939
332	468	937
333	469	935
334	470	933
335	471	931
336	472	929
337	473	927
338	474	925
339	475	923
340	476	921
341	478	919
342	479	918
343	480	916
344	481	914
345	482	912
346	483	909
347	484	907
348	485	905
349	486	902
350	487	900
351	488	898
352	489	896
353	490	894
354	491	892
355	492	891
356	493	889
357	495	888
358	496	886
359	497	884
360	498	882
361	499	880
362	501	880
363	502	878
364	504	876
365	504	874
366	506	873
367	507	872
368	509	870
369	510	868
370	511	866
371	512	864
372	513	863
373	514	861
374	515	859
375	516	857
376	517	855
377	518	853
378	520	852
379	521	850
380	523	850
381	524	848
382	525	846
383	526	845
384	528	843
385	529	841
386	529	839
387	531	837
388	531	835
389	532	833
390	533	831
391	534	829
392	535	827
393	537	826
394	538	825
395	540	824
396	541	822
397	542	821
398	544	820
399	546	819
400	547	818
401	548	816
402	550	815
403	552	815
404	554	814
405	556	813
406	557	812
407	558	811
408	560	809
409	561	808
410	563	806
411	564	805
412	565	803
413	566	801
414	568	800
415	569	799
416	571	799
417	573	797
418	574	796
419	575	794
420	576	792
421	577	791
422	578	789
423	579	787
424	580	785
425	581	783
426	583	782
427	584	781
428	586	780
429	587	778
430	589	777
431	590	776
432	591	774
433	592	773
434	594	771
435	595	770
436	596	768
437	598	767
438	599	766
439	601	765
440	603	764
441	604	763
442	605	761
443	606	760
444	608	758
445	609	756
446	610	755
447	611	753
448	613	752
449	614	751
450	616	750
451	617	749
452	619	748
453	620	746
454	621	744
455	622	743
456	623	741
457	625	739
458	626	737
459	627	736
460	628	735
461	629	733
462	631	732
463	633	731
464	644	741
465	646	741
466	648	739
467	649	738
468	650	736
469	651	735
470	653	733
471	654	732
472	655	730
473	657	729
474	659	728
475	660	727
476	663	727
477	664	725
478	666	724
479	667	722
480	668	721
481	669	719
482	671	718
483	672	716
484	674	715
485	676	714
486	677	714
487	679	713
488	681	712
489	682	710
490	683	708
491	685	707
492	686	705
493	687	703
494	688	702
495	690	701
496	691	699
497	692	698
498	694	697
499	695	695
500	697	694
501	698	693
502	700	691
503	701	689
504	702	688
505	703	687
506	704	685
507	706	684
508	708	682
509	709	681
510	710	679
511	711	678
512	712	676
513	713	674
514	714	673
515	715	671
516	716	669
517	718	668
518	719	667
519	721	665
520	722	664
521	723	662
522	725	661
523	726	659
524	727	658
525	728	656
526	730	655
527	731	653
528	732	652
529	734	651
530	736	650
531	737	648
532	739	647
533	740	646
534	741	644
535	742	642
536	743	641
537	744	639
538	745	637
539	746	635
540	748	634
541	749	633
542	750	631
543	752	630
544	753	628
545	754	627
546	755	625
547	756	623
548	757	622
549	758	620
550	759	618
551	760	617
552	761	615
553	763	614
554	764	613
555	766	611
556	767	610
557	768	608
558	769	607
559	770	605
560	771	603
561	772	602
562	773	600
563	774	599
564	776	597
565	777	595
566	778	594
567	780	593
568	781	592
569	782	590
570	784	589
571	785	587
572	786	585
573	787	584
574	788	582
575	789	581
576	790	579
577	791	577
578	792	576
579	793	574
580	795	573
581	796	572
582	797	570
583	798	569
584	799	567
585	800	565
586	801	564
587	802	562
588	804	561
589	805	559
590	806	557
591	807	556
592	808	554
593	809	553
594	811	552
595	812	550
596	813	549
597	814	547
598	815	545
599	816	544
600	817	542
601	818	541
602	819	539
603	820	537
604	821	536
605	822	534
606	823	533
607	825	531
608	826	530
609	827	528
610	828	527
611	829	525
612	830	524
613	832	523
614	833	521
615	833	519
616	835	518
617	836	517
618	838	516
619	839	514
620	841	513
621	842	511
622	843	510
623	844	509
624	845	507
625	846	505
626	848	504
627	849	503
628	850	501
629	851	500
630	853	498
631	854	497
632	855	495
633	856	494
634	857	493
635	858	491
636	860	490
637	861	488
638	862	487
639	863	485
640	864	484
641	865	482
642	866	480
643	867	479
644	868	477
645	869	476
646	871	475
647	872	473
648	873	472
649	875	471
650	876	469
651	877	468
652	878	466
653	879	465
654	880	463
655	881	462
656	882	460
657	883	459
658	884	457
659	885	456
660	887	454
661	888	453
662	889	452
663	890	450
664	891	448
665	892	447
666	893	445
667	893	444
668	894	442
669	895	441
670	896	439
671	897	438
672	898	436
673	899	435
674	900	433
675	902	432
676	903	430
677	904	429
678	905	427
679	906	426
680	907	424
681	908	423
682	908	421
683	909	420
684	910	418
685	911	417
686	912	415
687	913	414
688	915	413
689	916	411
690	917	410
691	918	408
692	919	407
693	921	406
694	922	404
695	923	403
696	924	401
697	925	400
698	926	398
699	927	397
700	928	395
701	929	394
702	931	393
703	932	392
704	933	390
705	934	389
706	935	387
707	937	386
708	937	384
709	938	383
710	939	381
711	940	380
712	941	379
713	943	377
714	944	376
715	945	375
716	947	374
717	949	372
718	949	371
719	950	369
720	951	368
721	952	366
722	954	365
723	955	364
724	956	362
725	957	361
726	957	359
727	958	358
728	959	356
729	961	355
730	962	354
731	963	352
732	964	351
733	965	349
734	966	348
735	967	347
736	968	345
737	969	344
738	970	342
739	971	341
740	972	339
741	973	338
742	974	336
743	975	335
744	976	334
745	977	332
746	979	331
747	980	330
748	981	328
749	982	327
750	983	326
751	984	324
752	985	323
753	986	321
754	987	320
755	989	319
756	990	317
757	991	316
758	993	315
759	994	313
760	995	312
761	996	311
762	997	309
763	998	308
764	999	307
765	1000	305
766	1001	304
767	1002	302
768	1003	301
769	1004	300
770	1005	298
771	1006	297
772	1008	296
773	1009	294
774	1010	293
775	1011	291
776	1012	290
777	1013	289
778	1014	287
779	1015	286
780	1016	285
781	1017	283
782	1018	282
783	1019	280
784	1020	279
785	1021	278
786	1022	276
787	1023	275
788	1024	274
789	1026	272
790	1027	271
791	1028	270
792	1029	268
793	1030	267
794	1031	265
795	1032	264
796	1033	263
797	1035	262
798	1036	260
799	1037	259
800	1039	258
801	1040	256
802	1041	255
803	1043	254
804	1044	252
805	1045	251
806	1046	250
807	1048	249
808	1049	247
809	1050	246
810	1050	244
811	1052	243
812	1054	242
813	1055	241
814	1056	239
815	1057	238
816	1058	237
817	1059	235
818	1061	234
819	1062	233
820	1063	231
821	1064	230
822	1065	229
823	1066	227
824	1068	226
825	1069	225
826	1070	223
827	1071	222
828	1072	221
829	1074	219
830	1075	218
831	1076	217
832	1078	216
833	1079	214
834	1080	213
835	1081	212
836	1082	210
837	1083	209
838	1085	208
839	1086	206
840	1087	205
841	1088	204
842	1089	202
843	1090	201
844	1091	200
845	1092	198
846	1093	197
847	1094	196
848	1095	194
849	1096	193
850	1097	192
851	1098	190
852	1099	189
853	1100	188
854	1101	186
855	1102	185
856	1103	184
857	1104	182
858	1106	181
859	1107	180
860	1108	178
861	1109	177
862	1110	176
863	1111	174
864	1112	173
865	1113	172
866	1114	171
867	1115	169
868	1116	168
869	1117	167
870	1119	165
871	1119	164
872	1120	163
873	1121	161
874	1122	160
875	1123	159
876	1125	157
877	1126	156
878	1127	155
879	1128	153
880	1129	152
881	1130	151
882	1131	149
883	1132	148
884	1133	147
885	1134	146
886	1136	144
887	1137	143
888	1139	142
889	1140	140
890	1142	139
891	1144	138
892	1145	137
